SOURCE_ID,PovertyEBK,geoDA_esti,P_VALUE,ASSOC_CAT
172,65.611389,0,0.034,Low-Low
173,63.565971,1,0.098,Low-Low
174,72.803436,0,0.116,Not Significant
175,66.288857,1,0.254,Not Significant
176,99.004082,1,0.002,High-Low
177,69.903183,0,0.064,Low-Low
178,78.673378,0,0.568,Not Significant
179,61.414307,1,0.128,Not Significant
180,68.774307,0,0.052,Low-Low
181,65.386261,0,0.028,Low-Low
182,69.520966,0,0.066,Low-Low
183,77.79847,0,0.812,Not Significant
184,82.814568,1,0.182,Not Significant
185,92.635925,0,0.002,High-Low
186,89.129578,0,0.002,High-Low
187,84.937729,0,0.016,High-Low
188,63.094734,0,0.054,Low-Low
189,60.880779,0,0.024,Low-Low
190,95.122581,0,0.002,High-Low
191,78.350693,0,0.696,Not Significant
192,84.20237,0,0.052,High-Low
193,63.924156,0,0.07,Low-Low
194,84.377792,0,0.032,High-Low
195,99.312714,11,0.002,High-High
196,88.334587,2,0.686,Not Significant
197,87.947929,0,0.002,High-Low
198,70.261589,0,0.1,Low-Low
199,91.161751,1,0.006,High-Low
200,63.704414,1,0.102,Not Significant
201,71.242676,0,0.178,Not Significant
202,59.036255,1,0.096,Low-Low
203,65.05986,0,0.032,Low-Low
204,65.081848,0,0.06,Low-Low
205,100,12,0.002,High-High
206,76.486496,0,0.296,Not Significant
207,86.319977,2,0.614,Not Significant
208,89.753906,0,0.004,High-Low
209,79.926094,2,0.754,Not Significant
210,64.290222,0,0.042,Low-Low
211,81.175163,1,0.946,Not Significant
212,91.202744,0,0.002,High-Low
213,73.883743,0,0.274,Not Significant
214,84.994034,2,0.884,Not Significant
215,80.771538,0,0.23,Not Significant
216,73.647858,0,0.126,Not Significant
217,73.399391,0,0.156,Not Significant
218,59.884556,1,0.03,Low-Low
219,79.180496,0,0.82,Not Significant
220,94.657715,2,0.656,Not Significant
221,85.555283,0,0.002,High-Low
222,74.595749,0,0.308,Not Significant
223,63.778919,0,0.014,Low-Low
224,98.647827,0,0.002,High-Low
225,91.65641,0,0.004,High-Low
226,85.581863,1,0.064,High-Low
227,73.449097,1,0.538,Not Significant
228,86.155159,2,0.258,Not Significant
229,73.816765,0,0.18,Not Significant
230,69.502945,3,0.006,Low-High
231,90.128052,0,0.004,High-Low
232,70.973099,0,0.122,Not Significant
233,81.978218,1,0.374,Not Significant
234,73.505219,0,0.208,Not Significant
235,57.451244,1,0.1,Low-Low
236,90.587128,3,0.004,High-High
237,57.310493,0,0.006,Low-Low
238,82.970802,2,0.852,Not Significant
239,58.803436,0,0.01,Low-Low
240,70.040207,1,0.388,Not Significant
241,70.734734,1,0.37,Not Significant
242,79.341599,0,0.63,Not Significant
243,71.859276,0,0.098,Low-Low
244,86.149956,0,0.008,High-Low
245,85.077148,0,0.052,High-Low
246,75.18013,2,0.742,Not Significant
247,76.83165,0,0.348,Not Significant
248,100,11,0.002,High-High
249,71.581528,0,0.07,Low-Low
250,84.322968,0,0.02,High-Low
251,86.665268,0,0.008,High-Low
252,72.00222,2,0.736,Not Significant
253,90.23571,1,0.08,High-Low
254,97.396492,12,0.002,High-High
255,51.858582,0,0.002,Low-Low
256,62.467072,1,0.14,Not Significant
257,61.607876,1,0.068,Low-Low
258,61.227783,0,0.008,Low-Low
259,89.163139,1,0.052,High-Low
260,88.49369,0,0.006,High-Low
261,85.272469,0,0.006,High-Low
262,71.146698,0,0.09,Low-Low
263,82.858803,1,0.218,Not Significant
264,87.236069,1,0.082,High-Low
265,89.454597,0,0.002,High-Low
266,92.902962,3,0.11,Not Significant
267,100,19,0.002,High-High
268,90.296082,2,0.624,Not Significant
269,96.877151,0,0.002,High-Low
270,82.321487,0,0.272,Not Significant
271,81.438942,1,0.352,Not Significant
272,100,11,0.002,High-High
273,65.291824,0,0.032,Low-Low
274,74.261246,0,0.332,Not Significant
275,82.046394,1,0.278,Not Significant
276,70.251396,0,0.066,Low-Low
277,79.341919,0,0.848,Not Significant
278,87.427933,1,0.012,High-Low
279,88.596313,1,0.048,High-Low
280,68.823303,0,0.058,Low-Low
281,65.505241,0,0.028,Low-Low
282,62.233425,1,0.112,Not Significant
283,93.470474,2,0.494,Not Significant
284,69.962845,1,0.316,Not Significant
285,60.405857,0,0.026,Low-Low
286,60.990715,3,0.002,Low-High
287,63.171722,1,0.048,Low-Low
288,67.447227,0,0.062,Low-Low
289,84.377907,0,0.014,High-Low
290,59.022255,0,0.02,Low-Low
291,71.006874,1,0.458,Not Significant
292,92.408173,1,0.056,High-Low
293,67.918587,0,0.044,Low-Low
294,71.187294,1,0.394,Not Significant
295,68.123543,0,0.156,Not Significant
296,94.217682,1,0.004,High-Low
297,78.468018,0,0.682,Not Significant
298,80.604683,1,0.936,Not Significant
299,87.790497,0,0.004,High-Low
300,72.662926,0,0.122,Not Significant
301,79.897972,0,0.82,Not Significant
302,96.843208,2,0.596,Not Significant
303,64.805496,0,0.018,Low-Low
304,74.068459,1,0.54,Not Significant
305,86.548004,2,0.748,Not Significant
306,91.091248,2,0.764,Not Significant
307,61.987843,0,0.016,Low-Low
308,87.823029,1,0.052,High-Low
309,59.211731,0,0.008,Low-Low
310,74.006943,0,0.148,Not Significant
311,90.708473,0,0.002,High-Low
312,68.092224,1,0.076,Low-Low
313,73.446907,0,0.2,Not Significant
314,78.265305,1,0.366,Not Significant
315,86.603859,1,0.28,Not Significant
316,88.3302,1,0.176,Not Significant
317,99.22805,14,0.002,High-High
318,90.234688,1,0.034,High-Low
319,68.427284,2,0.198,Not Significant
320,84.977127,0,0.01,High-Low
321,82.105469,0,0.152,Not Significant
322,99.743385,3,0.002,High-High
323,74.431702,0,0.274,Not Significant
324,100,11,0.002,High-High
325,86.24202,1,0.108,Not Significant
326,75.283363,1,0.634,Not Significant
327,83.641586,1,0.168,Not Significant
328,87.925179,0,0.008,High-Low
329,73.817024,1,0.362,Not Significant
330,93.434631,0,0.006,High-Low
331,78.74823,0,0.85,Not Significant
332,50.042,1,0.044,Low-Low
333,94.682442,2,0.472,Not Significant
334,70.571144,0,0.088,Low-Low
335,91.669044,0,0.004,High-Low
336,83.385231,0,0.096,High-Low
337,81.103462,0,0.222,Not Significant
338,94.669052,2,0.24,Not Significant
339,91.634338,2,0.462,Not Significant
340,80.024399,0,0.24,Not Significant
341,89.052933,0,0.004,High-Low
342,71.735359,0,0.124,Not Significant
343,97.246902,1,0.016,High-Low
344,99.237503,11,0.002,High-High
345,58.093025,1,0.044,Low-Low
346,91.303482,0,0.002,High-Low
347,77.079399,1,0.972,Not Significant
348,69.308556,0,0.042,Low-Low
349,69.5578,1,0.374,Not Significant
350,59.905704,1,0.056,Low-Low
351,94.205521,5,0.012,High-High
352,95.818596,1,0.006,High-Low
353,87.941559,0,0.008,High-Low
354,74.48262,0,0.192,Not Significant
355,85.310753,1,0.102,Not Significant
356,68.577873,1,0.298,Not Significant
357,66.804871,0,0.036,Low-Low
358,63.390018,0,0.044,Low-Low
359,94.062996,1,0.004,High-Low
360,99.872581,19,0.002,High-High
361,77.552994,0,0.252,Not Significant
362,100,12,0.002,High-High
363,64.083298,1,0.18,Not Significant
364,79.761475,2,0.436,Not Significant
365,94.270615,2,0.44,Not Significant
366,94.694572,1,0.004,High-Low
367,99.336777,1,0.006,High-Low
368,70.479935,1,0.344,Not Significant
369,79.128265,0,0.986,Not Significant
370,86.422966,0,0.02,High-Low
371,69.342491,0,0.06,Low-Low
372,87.469162,1,0.142,Not Significant
373,74.887054,1,0.366,Not Significant
374,76.643913,0,0.46,Not Significant
375,79.667542,0,0.958,Not Significant
376,89.945518,0,0.004,High-Low
377,88.089882,1,0.02,High-Low
378,57.42627,0,0.006,Low-Low
379,93.188728,0,0.002,High-Low
380,71.494499,0,0.088,Low-Low
381,70.611359,0,0.074,Low-Low
382,73.907791,1,0.38,Not Significant
383,89.024246,0,0.002,High-Low
384,90.088333,1,0.004,High-Low
385,60.746891,0,0.022,Low-Low
386,66.356842,0,0.048,Low-Low
387,75.167282,1,0.566,Not Significant
388,68.108032,0,0.088,Low-Low
389,93.259003,0,0.002,High-Low
390,82.347023,0,0.11,Not Significant
391,100,20,0.002,High-High
392,85.921364,1,0.096,High-Low
393,91.79142,0,0.002,High-Low
394,91.174614,0,0.002,High-Low
395,81.332817,1,0.428,Not Significant
396,72.243553,2,0.204,Not Significant
397,91.233215,1,0.062,High-Low
398,76.047447,0,0.36,Not Significant
399,65.823395,0,0.028,Low-Low
400,72.664604,0,0.12,Not Significant
401,97.083801,4,0.002,High-High
402,53.574585,1,0.058,Low-Low
403,99.965218,19,0.002,High-High
404,40.705513,0,0.006,Low-Low
405,99.938614,19,0.002,High-High
406,88.659897,2,0.074,High-Low
407,63.448242,1,0.066,Low-Low
408,76.180801,1,0.472,Not Significant
409,88.580597,0,0.004,High-Low
410,89.839005,0,0.002,High-Low
411,80.510033,0,0.236,Not Significant
412,89.180672,1,0.042,High-Low
413,100,11,0.002,High-High
414,94.446281,2,0.484,Not Significant
415,80.62571,0,0.288,Not Significant
416,72.119034,0,0.104,Not Significant
417,81.377472,0,0.164,Not Significant
418,94.393761,2,0.128,Not Significant
419,85.505066,0,0.082,High-Low
420,70.217361,0,0.044,Low-Low
421,91.073906,1,0.042,High-Low
422,87.383629,0,0.004,High-Low
423,63.767574,0,0.018,Low-Low
424,91.125206,0,0.002,High-Low
425,92.367012,0,0.002,High-Low
426,86.334846,1,0.11,Not Significant
427,100,11,0.002,High-High
428,61.442654,0,0.01,Low-Low
429,88.353188,0,0.002,High-Low
430,99.844513,18,0.002,High-High
431,99.824913,11,0.002,High-High
432,92.999252,0,0.002,High-Low
433,76.800766,0,0.52,Not Significant
434,87.725952,1,0.064,High-Low
435,93.582947,2,0.498,Not Significant
436,95.380257,0,0.002,High-Low
437,85.231369,1,0.226,Not Significant
438,90.4328,0,0.004,High-Low
439,90.233765,1,0.01,High-Low
440,84.908173,0,0.01,High-Low
441,68.340034,0,0.094,Low-Low
442,97.433212,1,0.008,High-Low
443,76.927902,0,0.42,Not Significant
444,83.631119,0,0.036,High-Low
445,66.12043,0,0.034,Low-Low
446,85.013947,0,0.02,High-Low
447,71.338478,1,0.452,Not Significant
448,55.808949,1,0.058,Low-Low
449,77.358208,0,0.68,Not Significant
450,86.587585,0,0.006,High-Low
451,99.988701,11,0.002,High-High
452,87.700638,0,0.13,Not Significant
453,91.469551,0,0.002,High-Low
454,98.198547,0,0.002,High-Low
455,67.888451,1,0.326,Not Significant
456,63.141602,1,0.072,Low-Low
457,75.535728,1,0.504,Not Significant
458,86.561287,0,0.01,High-Low
459,93.768318,2,0.46,Not Significant
460,68.487831,1,0.294,Not Significant
461,69.98658,0,0.068,Low-Low
462,86.912384,1,0.094,High-Low
463,85.249092,1,0.12,Not Significant
464,100,11,0.002,High-High
465,91.092461,2,0.948,Not Significant
466,90.566887,1,0.032,High-Low
467,49.84499,1,0.048,Low-Low
468,69.823769,0,0.054,Low-Low
469,70.429527,0,0.084,Low-Low
470,47.41589,5,0.002,Low-High
471,76.671967,0,0.674,Not Significant
472,71.385101,0,0.102,Not Significant
473,89.461761,2,0.176,Not Significant
474,71.84259,0,0.078,Low-Low
475,84.96505,1,0.202,Not Significant
476,79.600174,1,0.56,Not Significant
477,75.933411,0,0.314,Not Significant
478,99.999603,11,0.002,High-High
479,84.876869,0,0.014,High-Low
480,97.368355,3,0.056,High-High
481,89.408638,0,0.004,High-Low
